Condition,Error in Distance,Object Name,Participant ID,,,
egocentric,54.34,Barrel,31,,,
egocentric,5.1,Plant,31,,,
egocentric,43.01,Lamp,32,,,
egocentric,77.39,Chair,32,,,
egocentric,81.12,Bike,32,,,
egocentric,121.2,Stove,32,,,
egocentric,82.07,Barrel,32,,,
egocentric,933.08,Plant,32,,,
allocentric,35.23,Lamp,33,,,
allocentric,30.23,Chair,33,,,
allocentric,46.53,Bike,33,,,
allocentric,36.67,Stove,33,,,
allocentric,32.57,Barrel,33,,,
allocentric,1186.3,Plant,33,,,
