Angle Error,Condition,Participant ID,Point From,Point To
36.93,allocentric,29,Barrel,Bike
2.81,allocentric,29,Bike,Plant
88.18,allocentric,29,Stove,Barrel
14.2,allocentric,29,Lamp,Stove
18.38,allocentric,30,Lamp,Stove
2.65,allocentric,30,Stove,Barrel
2.46,allocentric,30,Bike,Plant
7.25,allocentric,30,Barrel,Bike
19.43,allocentric,30,Plant,Chair
6.14,allocentric,30,Chair,Lamp
41.9,egocentric,31,Plant,Chair
40.71,egocentric,31,Stove,Barrel
17,egocentric,31,Barrel,Bike
1.96,egocentric,31,Bike,Plant
0.48,egocentric,31,Lamp,Stove
33.15,egocentric,31,Chair,Lamp
34.51,egocentric,32,Plant,Chair
24.66,egocentric,32,Lamp,Stove
32.6,egocentric,32,Chair,Lamp
4.87,egocentric,32,Stove,Barrel
3.23,egocentric,32,Barrel,Bike
2.21,egocentric,32,Bike,Plant
14.04,allocentric,33,Plant,Chair
126.17,allocentric,33,Barrel,Bike
92.38,allocentric,33,Chair,Lamp
87.66,allocentric,33,Bike,Plant
10.77,allocentric,33,Lamp,Stove
2.69,allocentric,33,Stove,Barrel
